agro_ecological_zone,soil_ph,nitrogen_N,phosphorus_P,potassium_K,soil_moisture,soil_temp,ambient_temp,humidity,rainfall,altitude,soil_type
Dry,7.84,42.89,19.7,266.7,10.93,30.11,31.69,65.25,0.01,27.67,Grumusols
Dry,6.31,23.06,10.43,73.47,52.47,33.43,34.81,57.15,1.34,71.4,Red Yellow Latosols
Dry,5.84,19.34,10.05,100.37,26.77,28.97,30.83,49.6,1.28,80.15,Non-Calcic Brown
Dry,6.33,48.71,19.71,150.61,19.24,32.4,33.62,41.64,3.09,97.02,Reddish Brown Earths
Wet,5.61,31.88,14.85,106.08,10.56,24.78,25.98,74.46,22.59,443.83,Immature Brown Loams
Dry,8.37,38.41,15.78,189.4,23.29,29.2,30.19,82.84,4.12,137.01,Calcic Red Yellow Latosols
Dry,8.0,40.18,26.75,251.79,38.89,29.98,30.96,80.47,1.79,72.34,Grumusols
Dry,7.38,39.49,20.86,331.58,54.73,29.32,30.74,86.77,3.91,18.28,Grumusols
Dry,8.15,38.45,14.68,218.73,13.98,32.06,33.03,57.98,1.07,105.37,Calcic Red Yellow Latosols
Dry,6.59,51.18,17.47,142.2,52.83,29.82,31.68,53.55,3.75,140.27,Reddish Brown Earths
Intermediate,5.97,44.97,14.23,134.34,38.01,26.26,27.04,42.05,12.32,303.06,Reddish Brown Latosolic
Wet,4.88,39.22,12.49,96.51,69.69,19.68,21.6,81.46,29.22,189.8,Red Yellow Podzolic
Dry,7.88,47.48,23.1,248.15,68.26,28.81,29.53,78.72,3.38,92.08,Grumusols
Wet,5.23,27.7,9.28,100.22,37.12,21.8,23.42,79.51,22.31,309.2,Red Yellow Podzolic
Intermediate,6.01,39.79,12.85,159.76,12.63,27.96,29.88,74.58,14.11,69.82,Reddish Brown Latosolic
Intermediate,6.44,83.89,21.87,221.07,25.12,27.04,28.75,58.26,14.11,563.09,Alluvial Soils
Intermediate,6.17,73.28,33.81,187.59,13.55,26.3,27.68,56.41,12.24,780.53,Alluvial Soils
Wet,5.26,32.8,10.07,108.15,15.32,23.94,24.67,70.85,15.64,51.58,Red Yellow Podzolic
Dry,6.47,59.22,17.49,154.46,15.91,29.31,30.05,59.35,2.68,15.84,Reddish Brown Earths
Dry,9.31,8.69,11.67,529.13,32.6,29.61,31.54,87.93,0.38,82.42,Solonchaks
Wet,4.64,130.2,9.1,70.19,11.91,25.88,27.29,40.88,16.22,499.42,Bog and Half-Bog
Dry,6.5,48.97,16.72,155.2,45.85,32.67,33.2,85.84,3.27,41.46,Reddish Brown Earths
Wet,5.23,45.59,15.37,125.88,52.44,22.13,23.0,71.05,28.91,485.79,Immature Brown Loams
Dry,8.23,34.29,17.45,242.59,25.97,28.75,29.96,70.98,2.53,32.29,Calcic Red Yellow Latosols
Dry,7.28,37.0,23.03,257.4,9.52,28.74,30.7,67.03,4.05,85.16,Grumusols
Dry,7.96,32.04,21.94,200.3,67.09,32.68,33.77,53.07,1.26,17.88,Calcic Red Yellow Latosols
Dry,7.15,51.84,16.2,115.94,51.26,28.24,28.92,47.23,2.27,59.52,Low Humic Gley
Dry,6.21,14.8,10.12,70.44,34.72,29.26,30.86,55.03,4.01,37.53,Red Yellow Latosols
Dry,8.94,15.96,8.21,451.74,39.16,30.59,31.55,49.02,3.75,85.35,Solonchaks
Dry,6.17,27.72,8.85,100.84,13.5,28.02,29.23,52.11,2.89,75.46,Non-Calcic Brown
Intermediate,6.0,42.39,15.46,120.05,53.25,22.55,23.82,60.28,6.81,458.05,Reddish Brown Latosolic
Dry,8.91,12.88,11.69,424.89,12.62,32.79,34.02,84.08,0.5,28.21,Solonchaks
Dry/Wet,7.15,14.59,6.27,57.27,39.23,32.62,33.29,58.11,13.28,61.21,Regosols
Dry,7.55,26.91,22.24,233.75,49.77,29.97,30.72,72.64,4.65,52.83,Calcic Red Yellow Latosols
Dry,6.35,53.87,17.75,168.48,17.85,29.98,30.53,92.19,1.05,112.12,Reddish Brown Earths
Dry,7.64,39.46,19.9,256.82,13.98,32.5,33.64,84.31,0.81,77.53,Grumusols
Dry,6.54,52.79,18.68,148.25,34.12,33.46,33.99,68.05,3.91,62.57,Reddish Brown Earths
Dry,8.85,14.44,8.68,372.2,47.27,32.39,33.72,70.6,4.16,15.88,Solonchaks
Intermediate,5.91,39.79,16.42,137.25,48.2,24.29,25.93,91.36,6.37,663.87,Reddish Brown Latosolic
Wet,4.41,118.13,11.08,62.06,42.3,26.47,27.76,75.82,23.61,203.68,Bog and Half-Bog
Dry,7.99,44.42,20.54,324.21,57.99,28.43,29.12,46.42,2.17,25.04,Grumusols
Dry/Wet,7.11,14.37,6.24,44.18,11.38,30.39,31.31,77.33,22.95,230.12,Regosols
Wet,4.85,113.21,11.29,67.5,64.83,26.04,27.02,48.56,13.1,246.0,Bog and Half-Bog
Dry,6.49,46.35,19.9,170.01,47.44,32.6,34.11,47.85,1.38,63.45,Reddish Brown Earths
Dry,8.31,11.92,10.65,456.7,17.28,29.01,30.52,59.71,0.47,55.69,Solonchaks
Dry,5.91,26.62,8.2,113.56,28.87,30.5,31.23,87.61,2.48,59.26,Non-Calcic Brown
Intermediate,6.19,42.84,12.75,163.31,45.24,24.33,25.58,81.32,10.81,200.56,Reddish Brown Latosolic
Wet,5.45,31.08,14.5,141.6,34.2,21.76,22.93,79.17,29.45,463.2,Immature Brown Loams
Dry,6.05,27.64,10.23,100.38,24.44,28.68,30.11,67.09,3.53,77.27,Non-Calcic Brown
Wet,5.13,36.01,8.7,90.91,23.59,18.32,19.91,57.77,11.99,170.83,Red Yellow Podzolic
Dry,8.08,32.07,13.24,238.1,13.49,29.28,30.79,55.33,4.09,113.41,Calcic Red Yellow Latosols
Intermediate,5.79,48.15,14.32,142.61,64.39,26.36,27.17,44.09,9.93,265.81,Reddish Brown Latosolic
Dry,9.05,13.09,7.99,418.18,21.22,32.8,33.95,93.99,4.61,54.96,Solonchaks
Dry,6.65,55.45,17.63,125.31,26.61,27.24,28.95,44.44,0.08,80.9,Low Humic Gley
Dry,7.92,25.59,19.01,227.85,63.79,30.84,32.03,86.16,3.44,43.4,Calcic Red Yellow Latosols
Intermediate,6.06,39.53,16.88,142.84,41.07,25.19,26.65,47.3,7.81,499.83,Reddish Brown Latosolic
Dry,6.84,59.42,16.77,171.33,57.17,29.86,31.48,49.55,3.86,65.81,Reddish Brown Earths
Intermediate,5.99,49.33,15.87,154.13,36.55,28.61,29.56,73.87,7.62,765.64,Reddish Brown Latosolic
Dry,6.8,42.35,12.08,151.72,5.3,30.43,32.03,53.34,1.11,18.1,Low Humic Gley
Dry,7.74,30.33,17.56,231.13,19.91,29.6,30.77,44.45,2.05,45.59,Calcic Red Yellow Latosols
Dry,6.78,60.69,19.74,169.45,23.65,32.12,33.18,59.14,1.94,145.2,Reddish Brown Earths
Dry,6.15,29.23,8.45,112.14,51.68,30.13,31.25,85.29,1.78,32.72,Non-Calcic Brown
Dry,8.14,22.86,14.06,331.51,24.38,32.11,33.66,53.23,0.34,84.45,Solodized Solonetz
Wet,4.33,119.17,10.35,70.71,42.54,27.03,27.54,74.59,20.78,494.78,Bog and Half-Bog
Intermediate,5.83,43.31,16.04,142.71,21.16,26.17,26.82,57.34,14.27,467.03,Reddish Brown Latosolic
Dry,5.73,44.99,16.12,166.22,31.92,29.77,31.32,47.19,4.04,120.73,Reddish Brown Earths
Dry,8.16,29.04,17.9,229.59,40.27,31.28,32.68,78.58,4.6,72.99,Calcic Red Yellow Latosols
Dry,6.08,25.87,11.57,95.99,25.93,29.63,31.29,94.23,0.37,143.52,Non-Calcic Brown
Wet,5.76,37.99,16.91,148.17,53.0,22.62,24.1,62.11,20.15,166.07,Immature Brown Loams
Dry,7.71,46.25,21.64,317.81,50.53,31.14,31.97,73.34,2.91,144.11,Grumusols
Dry,7.18,49.44,14.22,136.36,36.36,29.94,30.98,78.6,4.35,45.44,Low Humic Gley
Dry,6.67,17.32,8.51,66.65,16.43,34.38,35.33,69.77,3.68,130.65,Red Yellow Latosols
Wet,5.02,30.79,13.05,92.79,44.61,24.6,25.18,93.74,27.12,156.73,Red Yellow Podzolic
Dry/Wet,7.27,9.34,5.71,37.26,33.87,28.72,30.28,46.29,13.3,63.16,Regosols
Wet,4.33,107.69,8.38,62.28,50.55,25.37,26.98,43.32,11.89,76.85,Bog and Half-Bog
Dry,6.6,43.23,14.11,111.1,41.16,30.11,30.62,56.79,0.93,19.54,Low Humic Gley
Dry,7.02,58.86,18.15,145.58,56.61,27.9,29.77,86.23,2.63,136.58,Reddish Brown Earths
Intermediate,6.33,45.21,13.92,133.93,36.16,25.25,26.52,60.22,14.01,441.68,Reddish Brown Latosolic
Wet,4.91,39.48,6.38,83.68,51.15,21.18,22.71,54.89,19.83,362.47,Red Yellow Podzolic
Wet,4.79,39.38,5.98,74.16,12.79,22.07,23.07,91.23,23.99,97.56,Red Yellow Podzolic
Dry,6.75,43.31,16.04,126.3,23.41,30.87,31.48,54.81,4.22,64.37,Low Humic Gley
Intermediate,6.33,81.37,29.39,208.68,23.11,26.4,27.55,86.83,12.43,316.9,Alluvial Soils
Wet,4.96,43.48,6.41,80.88,30.04,22.38,24.05,89.77,26.63,310.83,Red Yellow Podzolic
Dry/Wet,7.42,10.51,3.68,48.9,16.13,29.7,31.05,72.14,10.28,481.59,Regosols
Dry,5.98,26.6,11.98,118.59,48.46,26.88,28.87,40.67,3.58,105.25,Non-Calcic Brown
Intermediate,6.17,74.92,30.01,206.35,60.61,30.19,31.12,84.57,5.9,795.89,Alluvial Soils
Intermediate,6.16,46.42,12.69,158.71,11.43,23.55,25.55,89.32,9.11,590.94,Reddish Brown Latosolic
Dry,8.2,30.99,19.73,264.58,53.28,27.1,28.47,93.77,1.19,120.55,Calcic Red Yellow Latosols
Wet,5.07,40.99,9.04,89.57,47.47,22.89,24.02,52.7,29.4,351.62,Red Yellow Podzolic
Wet,5.04,23.9,9.14,87.36,65.09,21.41,22.1,66.89,12.5,475.95,Red Yellow Podzolic
Dry,6.71,44.75,19.91,157.9,19.84,28.16,29.88,64.99,3.75,121.44,Reddish Brown Earths
Dry,6.15,30.87,10.99,108.27,31.3,29.64,31.51,52.54,3.67,30.68,Non-Calcic Brown
Intermediate,6.05,41.96,11.75,145.46,10.77,26.09,27.6,88.03,10.88,141.48,Reddish Brown Latosolic
Dry,6.08,30.31,9.64,105.89,68.32,25.81,27.68,57.7,3.86,62.06,Non-Calcic Brown
Intermediate,6.49,72.65,29.13,175.92,53.3,26.71,27.72,72.73,6.37,237.13,Alluvial Soils
Dry,6.9,55.58,15.21,162.96,27.75,30.79,31.78,62.11,0.45,37.95,Reddish Brown Earths
Dry/Wet,7.17,13.11,4.95,55.02,11.79,29.17,29.82,62.92,11.49,24.25,Regosols
Dry,8.94,8.38,7.99,380.77,21.78,32.86,34.34,94.46,1.15,136.78,Solonchaks
Dry,6.2,12.8,8.71,80.08,35.54,30.27,31.34,46.39,1.06,65.86,Red Yellow Latosols
Wet,4.13,120.94,8.67,66.27,55.32,24.69,26.08,78.92,26.27,187.22,Bog and Half-Bog
Dry/Wet,7.43,9.71,6.04,57.89,14.35,29.22,30.44,65.77,17.15,153.95,Regosols
Intermediate,6.26,46.17,17.47,127.69,63.55,24.56,26.15,74.19,5.86,697.68,Reddish Brown Latosolic
Dry,8.07,37.49,19.52,361.02,65.96,27.98,29.4,54.26,1.64,138.67,Grumusols
Dry,7.88,39.74,23.78,309.85,53.48,32.48,33.23,40.64,3.39,104.02,Grumusols
Dry,7.3,38.65,23.6,350.94,5.15,28.5,29.78,53.27,3.43,91.14,Grumusols
Dry,6.82,55.7,16.21,171.31,63.89,31.37,32.91,47.29,3.17,23.42,Reddish Brown Earths
Dry,6.51,49.48,12.44,123.85,35.36,27.07,28.65,51.04,3.7,36.06,Low Humic Gley
Dry,7.67,38.38,22.35,289.35,21.34,32.08,32.67,65.25,0.99,117.55,Grumusols
Wet,5.09,28.35,9.47,87.31,13.3,18.3,19.11,51.73,12.29,450.39,Red Yellow Podzolic
Dry,7.61,37.78,24.34,330.58,13.53,30.43,31.8,90.47,2.86,60.29,Grumusols
Dry,7.32,43.68,14.02,126.7,43.48,29.48,31.4,47.01,2.93,66.87,Low Humic Gley
Dry,8.27,18.76,15.92,254.27,26.12,32.3,33.52,85.89,0.7,130.69,Solodized Solonetz
Wet,5.08,35.78,7.68,84.84,43.24,25.09,26.18,72.95,22.33,298.33,Red Yellow Podzolic
Dry,6.16,27.66,10.34,110.49,7.41,31.25,31.92,73.63,3.94,125.37,Non-Calcic Brown
Wet,5.54,40.03,12.46,158.16,34.85,23.71,24.22,91.2,20.07,375.99,Immature Brown Loams
Dry,6.75,48.4,14.48,125.85,8.64,27.88,28.5,85.5,4.5,24.24,Low Humic Gley
Dry,8.03,21.67,14.03,358.48,42.38,30.68,31.41,40.32,4.28,29.24,Solodized Solonetz
Wet,4.94,32.92,6.79,89.96,46.04,21.23,22.79,45.77,25.76,488.44,Red Yellow Podzolic
Wet,5.3,45.69,15.63,118.71,45.99,22.97,24.03,74.5,17.54,252.81,Immature Brown Loams
Dry,6.46,17.12,12.75,71.17,10.38,32.76,33.52,43.83,3.57,83.13,Red Yellow Latosols
Dry,8.13,29.66,18.99,219.53,29.42,30.83,32.1,93.98,1.42,135.79,Calcic Red Yellow Latosols
Dry,8.42,15.2,9.12,421.19,16.09,31.35,32.1,65.94,4.79,83.69,Solonchaks
Wet,5.0,37.56,12.57,86.76,10.68,21.45,22.66,82.06,22.33,303.26,Red Yellow Podzolic
Intermediate,5.87,77.22,29.39,204.64,30.11,27.28,28.05,62.0,9.81,95.3,Alluvial Soils
Wet,5.45,40.01,9.94,87.84,7.64,23.21,24.8,91.13,20.1,29.07,Red Yellow Podzolic
Dry,7.93,19.2,12.57,339.97,6.81,32.32,33.8,71.04,1.86,47.44,Solodized Solonetz
Intermediate,6.01,47.77,13.91,142.06,19.57,25.68,27.61,73.49,12.65,705.11,Reddish Brown Latosolic
Wet,4.52,131.75,12.0,77.06,60.26,28.1,29.27,78.69,29.21,430.47,Bog and Half-Bog
Dry,5.94,21.4,10.9,122.44,67.85,27.44,28.62,65.82,2.76,132.48,Non-Calcic Brown
Dry,7.99,19.29,17.06,396.13,34.59,32.88,34.5,84.05,4.68,57.3,Solodized Solonetz
Dry,7.55,40.68,20.86,301.15,46.74,28.94,30.67,40.87,0.28,127.0,Grumusols
Dry,7.26,54.47,17.57,170.18,21.57,29.12,29.67,56.86,0.87,53.87,Reddish Brown Earths
Dry,6.62,53.2,15.35,161.86,19.89,30.74,31.3,94.99,3.63,103.17,Reddish Brown Earths
Dry,6.79,17.89,11.12,63.32,50.31,29.29,31.11,77.55,0.95,49.02,Red Yellow Latosols
Wet,5.51,41.41,12.0,121.19,51.94,21.22,22.74,93.36,12.04,187.44,Immature Brown Loams
Dry,7.93,42.48,22.39,262.86,25.47,31.07,32.42,49.09,4.38,67.51,Grumusols
Wet,5.07,38.71,7.85,83.77,34.72,21.21,22.55,53.48,18.39,340.02,Red Yellow Podzolic
Dry,8.04,19.53,12.64,313.61,54.56,28.17,29.88,58.01,2.32,42.85,Solodized Solonetz
Wet,4.36,109.43,9.2,62.41,69.15,24.19,25.01,88.68,23.39,50.66,Bog and Half-Bog
Dry,6.46,18.33,10.29,62.04,19.67,30.92,31.75,77.92,4.0,59.98,Red Yellow Latosols
Wet,4.97,37.55,11.49,86.14,59.24,22.55,24.02,76.19,14.07,209.69,Red Yellow Podzolic
Dry,8.73,21.91,14.58,371.02,32.85,32.58,34.09,64.42,3.8,47.98,Solodized Solonetz
Dry,6.56,59.33,17.47,171.48,13.98,32.36,33.3,56.13,4.07,70.67,Reddish Brown Earths
Wet,5.73,36.18,18.82,98.77,53.53,25.52,26.52,55.61,20.63,68.69,Immature Brown Loams
Dry,6.71,57.06,18.04,149.98,30.41,29.92,30.57,46.04,2.77,93.77,Reddish Brown Earths
Dry,6.7,55.04,16.78,167.38,30.72,31.33,32.32,50.74,0.74,113.5,Reddish Brown Earths
Intermediate,6.1,83.13,22.37,204.17,67.8,25.23,25.97,93.74,9.39,781.5,Alluvial Soils
Dry,7.15,40.51,14.89,125.67,37.41,28.08,29.72,80.95,1.08,131.77,Low Humic Gley
Wet,4.53,118.65,11.07,54.9,56.6,25.37,26.16,70.8,14.96,144.81,Bog and Half-Bog
Dry,7.92,36.59,23.86,326.26,39.38,30.88,32.08,51.3,1.09,53.47,Grumusols
Intermediate,6.1,77.6,33.41,204.21,60.91,28.23,29.34,60.82,12.15,723.02,Alluvial Soils
Intermediate,6.0,76.11,33.91,187.13,36.25,25.21,25.77,55.46,14.37,135.59,Alluvial Soils
Wet,4.2,103.07,8.9,51.99,24.35,26.27,27.58,46.94,25.36,420.15,Bog and Half-Bog
Dry,6.73,18.5,10.3,81.18,34.03,34.68,35.8,42.76,0.23,56.03,Red Yellow Latosols
Dry,6.75,22.63,9.11,78.58,53.52,31.58,32.75,90.22,2.0,119.84,Red Yellow Latosols
Wet,5.78,40.65,16.74,150.25,44.67,22.5,23.54,77.03,15.39,33.78,Immature Brown Loams
Dry,6.93,55.0,10.98,144.7,53.41,29.7,31.54,60.24,3.09,110.06,Reddish Brown Earths
Dry,7.7,29.66,14.67,221.4,57.16,28.16,29.77,54.27,4.09,45.48,Calcic Red Yellow Latosols
Wet,5.59,40.9,15.83,123.75,25.87,21.83,23.72,70.16,22.01,405.59,Immature Brown Loams
Dry,6.35,21.5,8.93,69.95,63.23,30.69,32.02,64.53,1.61,46.73,Red Yellow Latosols
Wet,4.6,115.68,8.91,65.09,66.39,25.44,26.45,82.87,25.58,38.34,Bog and Half-Bog
Dry,8.79,12.24,9.25,403.37,64.05,30.09,31.89,50.53,1.57,100.99,Solonchaks
Wet,5.64,37.61,13.37,109.1,48.55,21.92,23.35,87.28,25.11,445.88,Immature Brown Loams
Dry/Wet,6.91,11.76,4.67,53.16,32.33,31.32,31.98,58.56,27.53,77.04,Regosols
Wet,4.73,124.94,11.32,71.96,59.44,25.38,25.89,51.73,21.9,33.05,Bog and Half-Bog
Dry,6.81,49.37,17.87,152.24,55.76,30.04,31.87,82.93,1.91,46.31,Reddish Brown Earths
Dry,7.98,24.72,18.17,353.62,14.31,34.45,36.38,79.61,1.92,12.38,Solodized Solonetz
Dry,7.99,19.96,16.52,319.65,15.8,33.62,34.28,76.04,2.99,142.72,Solodized Solonetz
Dry,8.1,40.05,21.21,324.31,39.73,29.38,30.94,64.8,2.3,60.2,Grumusols
Dry,8.93,14.8,8.36,543.38,22.29,30.3,31.44,58.33,0.89,34.78,Solonchaks
Dry,6.03,31.84,7.41,112.45,6.44,28.46,29.55,43.21,2.48,119.52,Non-Calcic Brown
Intermediate,6.19,89.2,29.53,200.82,45.45,24.93,26.57,93.46,14.54,378.7,Alluvial Soils
Dry,7.03,49.82,19.99,166.76,63.26,30.03,30.59,83.58,4.25,94.85,Reddish Brown Earths
Intermediate,5.83,42.69,11.44,141.07,18.98,28.01,28.99,70.0,6.13,772.74,Reddish Brown Latosolic
Intermediate,6.72,81.33,32.24,196.22,42.57,28.71,29.5,47.86,9.43,685.92,Alluvial Soils
Wet,4.99,26.77,9.12,90.06,11.99,25.4,25.98,69.42,11.05,355.73,Red Yellow Podzolic
Wet,4.64,127.38,7.71,68.12,50.68,24.88,26.78,45.47,25.14,296.27,Bog and Half-Bog
Wet,4.54,115.46,6.76,69.98,23.7,26.07,27.24,46.48,16.31,21.0,Bog and Half-Bog
Dry,6.59,63.79,18.28,159.6,51.85,33.09,34.17,63.32,2.74,92.1,Reddish Brown Earths
Dry/Wet,7.01,8.22,6.45,44.73,56.29,31.07,32.51,75.85,20.07,179.55,Regosols
Dry/Wet,7.31,13.22,7.95,52.69,10.53,32.9,33.79,42.49,13.42,334.02,Regosols
Dry,6.13,20.23,10.92,104.62,23.09,30.12,31.86,86.64,3.86,50.34,Non-Calcic Brown
Dry,8.26,17.12,13.46,375.62,9.79,29.7,31.46,63.04,3.12,48.22,Solodized Solonetz
Dry,5.81,30.95,10.58,110.89,30.9,29.1,30.55,85.24,3.5,145.58,Non-Calcic Brown
Dry/Wet,6.98,11.29,6.48,53.68,58.74,33.49,34.63,68.09,21.31,65.99,Regosols
Dry,8.03,37.51,19.63,372.04,69.64,28.44,29.03,84.48,3.46,127.35,Grumusols
Dry,6.55,21.12,6.75,80.51,61.54,29.29,30.52,83.35,4.78,143.55,Red Yellow Latosols
Dry,6.62,15.43,10.74,80.26,64.1,28.45,30.12,79.81,3.64,98.69,Red Yellow Latosols
Dry/Wet,7.18,13.96,6.21,49.86,30.8,29.05,30.62,83.61,23.91,215.62,Regosols
Intermediate,5.9,46.68,15.72,143.86,11.02,23.47,24.46,78.81,11.01,69.96,Reddish Brown Latosolic
Dry,6.67,55.14,16.07,119.97,18.53,29.66,31.03,81.66,2.33,136.42,Low Humic Gley
Dry,7.91,41.2,22.91,297.98,52.47,31.16,31.72,85.13,4.37,10.91,Grumusols
Wet,5.06,39.6,13.06,77.8,31.9,24.71,25.38,76.79,11.65,302.07,Red Yellow Podzolic
Wet,4.86,34.58,8.45,87.46,66.72,23.09,24.71,49.86,26.28,422.16,Red Yellow Podzolic
Dry,6.39,22.34,8.33,101.28,41.37,33.71,34.49,79.77,4.3,84.18,Red Yellow Latosols
Dry,8.5,19.62,15.24,399.78,17.24,34.72,36.14,85.29,2.63,92.55,Solodized Solonetz
Wet,5.03,39.79,10.36,98.18,48.14,21.9,22.53,54.36,18.08,476.75,Red Yellow Podzolic
Wet,4.52,128.57,10.49,58.58,5.53,24.89,25.92,45.11,28.72,11.85,Bog and Half-Bog
Dry/Wet,7.25,13.46,6.33,54.11,52.02,29.89,31.63,47.65,29.21,178.99,Regosols
Dry,7.96,25.94,13.76,334.07,47.57,29.93,31.31,85.01,0.84,91.66,Solodized Solonetz
Dry,7.83,31.13,16.28,222.13,13.54,30.32,31.68,90.29,0.98,12.5,Calcic Red Yellow Latosols
Intermediate,6.05,44.01,17.6,115.88,57.39,26.13,27.46,63.44,10.88,463.79,Reddish Brown Latosolic
Dry,6.83,50.65,14.1,114.17,5.18,27.62,29.61,74.44,3.53,124.14,Low Humic Gley
Dry,6.7,51.67,20.07,171.19,43.45,30.72,32.48,90.85,2.94,11.47,Reddish Brown Earths
Dry/Wet,7.17,8.29,4.94,53.29,14.47,28.71,29.31,41.57,25.14,380.04,Regosols
Dry,8.68,12.94,10.47,432.73,19.58,33.57,34.68,55.73,3.2,77.76,Solonchaks
Wet,5.8,44.6,15.76,131.99,63.63,23.16,23.95,59.14,29.84,368.85,Immature Brown Loams
Dry,5.84,24.84,11.39,114.64,58.71,27.39,28.67,68.48,0.52,79.17,Non-Calcic Brown
Intermediate,5.75,37.87,13.34,166.19,22.68,23.51,24.54,47.98,7.56,627.84,Reddish Brown Latosolic
Dry,7.58,37.21,19.88,271.08,8.36,28.33,30.28,93.6,2.11,85.4,Grumusols
Dry,6.38,18.89,9.55,75.82,42.06,30.08,32.05,61.86,2.08,117.53,Red Yellow Latosols
Dry,6.72,55.07,15.65,180.57,19.66,30.0,31.84,91.32,1.59,65.23,Reddish Brown Earths
Dry,8.68,15.47,9.58,421.7,47.06,30.04,31.63,46.01,2.76,98.48,Solonchaks
Dry,6.0,20.01,9.87,114.18,62.48,29.86,30.65,64.79,4.33,98.16,Non-Calcic Brown
Dry,8.14,29.33,14.97,238.59,48.77,31.57,32.3,50.48,1.29,86.69,Calcic Red Yellow Latosols
Dry,6.3,25.24,11.7,107.71,21.84,31.54,32.7,51.17,1.25,130.73,Non-Calcic Brown
Dry,5.86,23.39,15.12,121.46,11.39,29.08,29.95,89.25,3.34,27.26,Non-Calcic Brown
Intermediate,5.87,45.78,16.29,139.39,30.85,25.38,26.9,50.75,8.42,124.99,Reddish Brown Latosolic
Wet,5.54,38.26,13.99,112.37,15.72,21.07,22.84,74.84,13.67,355.52,Immature Brown Loams
Dry,7.57,40.43,25.09,279.05,68.22,30.19,31.95,88.57,1.15,74.08,Grumusols
Intermediate,5.97,42.18,14.58,119.85,25.58,25.53,27.1,65.64,14.41,251.37,Reddish Brown Latosolic
Dry,5.92,20.6,8.83,109.75,36.28,31.34,32.17,59.81,1.21,147.9,Non-Calcic Brown
Intermediate,5.87,64.35,28.63,196.63,62.38,29.61,30.16,64.89,13.18,795.71,Alluvial Soils
Dry,5.97,30.31,8.71,115.07,45.94,31.16,32.36,78.51,3.37,103.45,Non-Calcic Brown
Wet,5.04,30.84,9.94,78.91,40.15,21.44,23.25,52.36,17.29,353.61,Red Yellow Podzolic
Wet,4.83,41.36,9.97,73.37,14.27,21.47,22.81,61.64,19.46,362.59,Red Yellow Podzolic
Dry/Wet,7.52,13.56,5.25,47.75,28.15,30.01,30.96,93.27,20.2,287.4,Regosols
Dry,6.97,45.23,15.85,143.39,52.75,27.86,29.44,77.94,2.89,100.8,Low Humic Gley
Dry,7.74,36.69,26.13,296.54,42.21,29.85,31.77,51.02,4.47,13.08,Grumusols
Intermediate,6.2,48.51,16.84,155.12,68.07,27.32,27.97,84.73,7.38,78.7,Reddish Brown Latosolic
Wet,5.04,28.42,10.29,85.43,29.33,22.64,24.3,40.08,10.19,414.37,Red Yellow Podzolic
Dry/Wet,6.96,16.05,6.14,40.73,9.9,31.92,33.0,80.72,23.03,447.97,Regosols
Dry,8.22,28.02,19.56,220.18,32.61,29.63,30.34,76.94,3.82,104.17,Calcic Red Yellow Latosols
Dry,8.23,24.58,15.78,449.09,56.12,33.03,34.6,55.74,1.43,37.08,Solodized Solonetz
Dry,5.99,24.14,9.14,110.08,53.31,27.71,28.81,58.7,3.61,66.09,Non-Calcic Brown
Dry,8.44,16.65,16.81,357.58,47.17,30.09,30.74,64.28,0.91,139.11,Solodized Solonetz
Dry/Wet,7.72,9.92,7.19,54.31,21.72,28.22,29.99,53.89,11.34,55.74,Regosols
Dry,7.93,29.79,15.16,182.69,20.54,31.62,33.35,71.59,3.42,43.02,Calcic Red Yellow Latosols
Dry,6.94,43.19,15.78,128.8,32.68,29.14,30.22,67.96,3.52,50.61,Low Humic Gley
Dry/Wet,7.43,6.45,2.59,49.03,23.43,28.65,30.29,89.28,19.95,172.62,Regosols
Wet,5.02,34.03,9.32,88.51,51.77,22.58,24.37,83.53,21.4,120.5,Red Yellow Podzolic
Wet,4.41,107.64,10.55,66.86,23.6,26.82,27.42,43.1,21.78,142.49,Bog and Half-Bog
Wet,4.89,35.02,7.45,87.77,65.53,27.69,29.27,62.49,15.49,420.99,Red Yellow Podzolic
Dry,8.7,12.07,9.24,475.67,47.39,29.62,31.42,81.11,3.43,92.76,Solonchaks
Dry,6.52,62.42,13.83,149.5,6.36,29.63,30.93,80.43,0.81,47.12,Reddish Brown Earths
Dry,6.77,15.68,12.54,71.58,6.42,32.49,33.45,63.93,3.42,145.44,Red Yellow Latosols
Dry,7.87,33.81,20.11,234.89,25.42,30.5,32.04,52.15,0.4,63.89,Calcic Red Yellow Latosols
Dry/Wet,7.46,7.13,6.71,44.15,65.0,28.6,30.57,60.17,13.41,307.85,Regosols
Wet,4.98,36.53,9.9,92.9,25.65,23.82,24.6,73.98,27.84,430.39,Red Yellow Podzolic
Dry,8.04,20.7,16.19,163.8,53.58,33.57,34.18,44.0,3.83,39.34,Calcic Red Yellow Latosols
Dry,6.77,67.7,18.85,131.76,10.49,29.0,29.86,60.8,0.25,94.6,Reddish Brown Earths
Dry,8.2,23.68,14.93,437.15,53.66,31.7,32.36,40.7,3.87,48.89,Solodized Solonetz
Dry,6.69,47.11,17.28,121.94,33.38,28.51,29.8,80.26,4.54,146.39,Low Humic Gley
Wet,5.62,29.74,17.24,117.81,41.76,24.42,25.75,43.33,11.86,258.94,Immature Brown Loams
