supplierName,seedType,region,price,rating,distance_km,stock,deliveryTime_days,organicCertified,reviews,
Green Harvest Agriculture,Corn Seed,Kandy,4879,4.6,9,134,5,FALSE,436,5220.4
Janogali,Tomato Seed,Kandy,6532,4.2,55,201,3,TRUE,326,4321.2
Saduthara Plant nursery,Bean Seed,Ampara,5422,4.6,2,130,4,FALSE,410,5103.2
Land mark agro Seeds,Cabbage Seed,Anuradhapura,5215,3.8,36,647,2,FALSE,60,9700.0
Land mark agro Seeds,Rice Seed,Matara,4035,4.8,33,252,5,FALSE,53,6252.0
Purahanda Enterprises,Rice Seed,Badulla,4890,4.7,31,527,4,TRUE,75,8703.0
Green Grove Fertilizer,Pumpkin Seed,Matara,5461,4.9,33,382,1,TRUE,422,6978.6
Land mark agro Seeds,Chili Seed,Jaffna,5437,4.8,60,319,1,TRUE,217,5821.2
Green Harvest Agriculture,Bean Seed,Anuradhapura,5852,4.4,14,269,3,FALSE,406,6087.2
Janogali,Corn Seed,Jaffna,3450,4.6,7,552,1,FALSE,319,10012.0
Saduthara Plant nursery,Onion Seed,Matara,5847,3.6,28,87,3,FALSE,259,4013.2
Land mark agro Seeds,Bean Seed,Matara,3613,4.9,11,177,4,FALSE,167,6107.8
Land mark agro Seeds,Potato Seed,Matara,7686,3.9,25,323,4,TRUE,279,5688.6
Purahanda Enterprises,Cabbage Seed,Colombo,6028,4.9,29,413,3,FALSE,263,7141.8
Green Grove Fertilizer,Carrot Seed,Kandy,5752,4.4,49,61,1,TRUE,265,3347.2
Land mark agro Seeds,Cabbage Seed,Matale,4821,4.2,35,290,2,TRUE,219,6295.6
Green Harvest Agriculture,Potato Seed,Kandy,5936,4.3,30,212,3,TRUE,413,5166.6
Janogali,Pumpkin Seed,Polonnaruwa,5841,4.6,51,91,5,TRUE,296,3565.6
Saduthara Plant nursery,Pumpkin Seed,Hambantota,4967,3.7,37,459,4,TRUE,473,7902.2
Land mark agro Seeds,Rice Seed,Ampara,5425,4.1,9,378,4,TRUE,225,7457.0
Land mark agro Seeds,Potato Seed,Matale,8076,4.3,17,439,4,TRUE,384,6840.6
Purahanda Enterprises,Tomato Seed,Colombo,4518,3.7,54,417,2,TRUE,17,7321.8
Green Grove Fertilizer,Pumpkin Seed,Jaffna,5549,3.9,49,533,2,FALSE,211,8163.4
Land mark agro Seeds,Cabbage Seed,Hambantota,6018,3.6,30,495,4,FALSE,346,7984.8
Green Harvest Agriculture,Carrot Seed,Nuwara Eliya,5233,4.4,27,68,5,TRUE,402,4064.8
Janogali,Rice Seed,Ampara,5281,3.7,40,71,4,FALSE,303,3836.6
Saduthara Plant nursery,Potato Seed,Badulla,8470,4.2,27,396,5,FALSE,235,6056.0
Land mark agro Seeds,Carrot Seed,Matara,6930,4.1,13,207,1,TRUE,445,5065.0
Land mark agro Seeds,Potato Seed,Kandy,8436,3.9,38,349,1,TRUE,430,5388.6
Purahanda Enterprises,Bean Seed,Nuwara Eliya,4540,3.7,24,685,2,FALSE,318,10593.0
Green Grove Fertilizer,Pumpkin Seed,Nuwara Eliya,4798,4.5,48,381,4,TRUE,208,6945.8
Land mark agro Seeds,Chili Seed,Jaffna,6601,4.2,18,532,1,TRUE,486,8343.6
Green Harvest Agriculture,Potato Seed,Nuwara Eliya,6754,4.2,58,539,5,TRUE,223,7552.4
Janogali,Onion Seed,Hambantota,7115,4.9,43,142,1,TRUE,256,3717.0
Saduthara Plant nursery,Cabbage Seed,Matale,6693,3.5,13,429,4,TRUE,286,7397.8
Land mark agro Seeds,Bean Seed,Monaragala,4484,4.0,29,175,3,TRUE,366,5406.4
Land mark agro Seeds,Rice Seed,Kandy,4331,4.1,37,73,2,TRUE,261,4284.6
Purahanda Enterprises,Pumpkin Seed,Nuwara Eliya,6766,4.6,34,114,1,FALSE,185,3765.6
Green Grove Fertilizer,Cabbage Seed,Matale,4042,4.3,48,187,1,FALSE,391,5314.2
Land mark agro Seeds,Potato Seed,Monaragala,8015,3.9,13,387,3,TRUE,486,6437.0
Green Harvest Agriculture,Chili Seed,Kandy,5923,4.4,46,655,3,FALSE,458,9278.8
Janogali,Chili Seed,Nuwara Eliya,5239,4.3,36,157,1,FALSE,191,4775.4
Saduthara Plant nursery,Pumpkin Seed,Hambantota,6727,4.3,5,450,1,FALSE,188,7730.2
Land mark agro Seeds,Rice Seed,Jaffna,3952,4.9,39,622,3,FALSE,426,9862.2
Land mark agro Seeds,Rice Seed,Hambantota,4571,4.1,15,501,3,FALSE,335,8908.6
Purahanda Enterprises,Cabbage Seed,Jaffna,6632,4.1,58,320,2,TRUE,401,5414.2
Green Grove Fertilizer,Cabbage Seed,Ratnapura,5271,5.0,50,149,2,TRUE,356,4381.6
Land mark agro Seeds,Bean Seed,Colombo,6474,5.0,31,496,2,FALSE,428,7750.4
Green Harvest Agriculture,Carrot Seed,Kurunegala,5983,4.6,32,80,4,FALSE,324,3778.8
Janogali,Tomato Seed,Colombo,5229,4.5,34,248,4,FALSE,440,5723.4
Saduthara Plant nursery,Bean Seed,Kurunegala,3776,4.5,10,311,5,TRUE,468,7414.6
Land mark agro Seeds,Tomato Seed,Ratnapura,7441,4.0,39,54,5,FALSE,302,2813.6
Land mark agro Seeds,Corn Seed,Colombo,3043,5.0,59,376,1,TRUE,297,7362.8
Purahanda Enterprises,Corn Seed,Badulla,4443,3.8,20,226,1,TRUE,447,6118.8
Green Grove Fertilizer,Corn Seed,Monaragala,4117,4.7,32,454,2,TRUE,302,8262.2
Land mark agro Seeds,Bean Seed,Matara,5962,4.0,8,601,3,FALSE,415,9495.2
Green Harvest Agriculture,Carrot Seed,Ampara,7402,4.9,37,406,1,TRUE,126,6362.2
Janogali,Potato Seed,Polonnaruwa,8918,4.4,12,64,3,TRUE,103,2850.8
Saduthara Plant nursery,Bean Seed,Polonnaruwa,4500,3.5,43,517,1,TRUE,241,8555.0
Land mark agro Seeds,Pumpkin Seed,Kurunegala,3954,4.4,51,152,3,TRUE,78,4936.4
Land mark agro Seeds,Onion Seed,Nuwara Eliya,8287,4.0,25,151,2,FALSE,385,3725.2
Purahanda Enterprises,Pumpkin Seed,Badulla,4458,4.9,28,158,1,TRUE,138,5239.8
Green Grove Fertilizer,Carrot Seed,Polonnaruwa,5846,3.9,60,349,2,FALSE,422,5984.6
Land mark agro Seeds,Chili Seed,Anuradhapura,6782,4.8,18,663,4,FALSE,296,9563.2
Green Harvest Agriculture,Potato Seed,Kandy,8717,5.0,43,529,3,TRUE,413,6943.2
Janogali,Bean Seed,Ratnapura,5147,4.3,13,213,2,FALSE,228,5832.2
Saduthara Plant nursery,Carrot Seed,Galle,5997,3.9,49,154,5,TRUE,272,4194.2
Land mark agro Seeds,Chili Seed,Monaragala,4369,4.1,32,614,1,FALSE,493,9779.4
Land mark agro Seeds,Bean Seed,Kurunegala,4856,4.9,55,404,4,FALSE,62,7000.6
Purahanda Enterprises,Chili Seed,Kandy,6198,4.1,29,611,3,TRUE,130,9077.8
Green Grove Fertilizer,Rice Seed,Matale,3737,4.8,7,640,3,TRUE,165,10771.2
Land mark agro Seeds,Carrot Seed,Matara,5925,4.0,47,50,3,FALSE,173,3220.0
Green Harvest Agriculture,Tomato Seed,Ratnapura,7072,3.5,49,690,3,FALSE,272,9136.2
Janogali,Corn Seed,Colombo,4738,4.1,8,57,5,TRUE,408,4541.8
Saduthara Plant nursery,Rice Seed,Jaffna,3857,4.3,16,370,2,TRUE,53,7858.2
Land mark agro Seeds,Corn Seed,Kandy,3351,3.6,53,135,1,FALSE,121,4991.6
Land mark agro Seeds,Rice Seed,Galle,3729,4.2,58,402,1,FALSE,224,7392.4
Purahanda Enterprises,Bean Seed,Kandy,4779,4.0,6,361,2,FALSE,376,7608.4
Green Grove Fertilizer,Cabbage Seed,Monaragala,6507,4.5,24,507,3,TRUE,244,8002.2
Land mark agro Seeds,Tomato Seed,Matara,7067,3.7,26,288,1,TRUE,103,5572.2
Green Harvest Agriculture,Onion Seed,Anuradhapura,5171,4.7,26,277,4,FALSE,59,6190.6
Janogali,Potato Seed,Ampara,5577,4.8,36,277,1,FALSE,418,5825.2
Saduthara Plant nursery,Onion Seed,Matale,8457,4.2,29,641,4,FALSE,46,8471.2
Land mark agro Seeds,Tomato Seed,Jaffna,7257,4.4,25,416,5,TRUE,349,6775.2
Land mark agro Seeds,Potato Seed,Anuradhapura,6906,4.7,16,365,2,TRUE,234,6576.6
Purahanda Enterprises,Bean Seed,Anuradhapura,5727,4.8,50,370,3,TRUE,121,6415.2
Green Grove Fertilizer,Corn Seed,Matara,3904,4.6,5,640,2,FALSE,201,10750.4
Land mark agro Seeds,Rice Seed,Matara,5071,3.5,59,444,1,TRUE,67,7276.6
Green Harvest Agriculture,Onion Seed,Matara,7270,3.8,8,258,2,FALSE,346,5548.0
Janogali,Chili Seed,Matale,4152,3.8,26,324,2,TRUE,122,7095.2
Saduthara Plant nursery,Pumpkin Seed,Matara,5257,4.6,30,142,5,TRUE,106,4729.2
Land mark agro Seeds,Bean Seed,Jaffna,5661,4.8,50,560,5,FALSE,114,8341.6
Land mark agro Seeds,Bean Seed,Monaragala,3590,3.9,45,447,5,TRUE,197,8167.0
Purahanda Enterprises,Tomato Seed,Matale,6297,4.0,17,312,1,FALSE,407,6291.2
Green Grove Fertilizer,Tomato Seed,Colombo,5806,3.9,21,62,3,FALSE,301,3910.6
Land mark agro Seeds,Carrot Seed,Matara,5382,4.4,43,162,1,FALSE,419,4625.2
Green Harvest Agriculture,Tomato Seed,Nuwara Eliya,5092,4.6,9,529,3,FALSE,144,9085.2
Janogali,Corn Seed,Matara,4371,4.2,19,138,2,TRUE,134,5275.6
Saduthara Plant nursery,Potato Seed,Kandy,8214,4.8,4,134,2,FALSE,310,3980.4
Land mark agro Seeds,Cabbage Seed,Anuradhapura,6112,3.6,21,674,1,TRUE,415,9917.2
Land mark agro Seeds,Pumpkin Seed,Jaffna,4442,3.7,8,100,1,FALSE,72,5102.2
Purahanda Enterprises,Carrot Seed,Anuradhapura,6376,4.4,17,54,4,FALSE,453,3667.6
Green Grove Fertilizer,Rice Seed,Anuradhapura,3820,4.2,22,448,5,TRUE,124,8536.0
Land mark agro Seeds,Potato Seed,Ampara,7887,4.5,48,527,4,FALSE,244,7170.2
Green Harvest Agriculture,Tomato Seed,Nuwara Eliya,7289,3.8,53,542,1,FALSE,371,7480.4
Janogali,Cabbage Seed,Kandy,6213,3.8,28,259,4,FALSE,450,5580.8
Saduthara Plant nursery,Rice Seed,Ampara,4928,3.7,15,158,4,FALSE,337,5347.8
Land mark agro Seeds,Bean Seed,Matara,4276,4.5,48,625,2,FALSE,280,9594.6
Land mark agro Seeds,Onion Seed,Matara,7902,4.3,44,640,1,TRUE,272,8380.2
Purahanda Enterprises,Potato Seed,Kurunegala,8421,3.9,12,222,1,TRUE,22,4644.6
Green Grove Fertilizer,Pumpkin Seed,Hambantota,5611,4.7,46,596,2,FALSE,254,8804.6
Land mark agro Seeds,Chili Seed,Nuwara Eliya,5249,3.6,15,141,2,TRUE,342,5052.4
Green Harvest Agriculture,Chili Seed,Monaragala,5377,4.9,30,117,4,TRUE,28,4422.2
Janogali,Chili Seed,Matara,6197,4.5,28,647,3,FALSE,304,9446.2
Saduthara Plant nursery,Corn Seed,Kandy,3490,4.5,43,368,1,TRUE,252,7439.0
Land mark agro Seeds,Chili Seed,Badulla,6562,3.6,51,389,2,FALSE,467,6287.2
Land mark agro Seeds,Potato Seed,Badulla,7440,4.3,41,614,2,FALSE,64,8365.0
Purahanda Enterprises,Carrot Seed,Monaragala,6857,3.8,57,476,2,FALSE,393,6913.2
Green Grove Fertilizer,Pumpkin Seed,Nuwara Eliya,6797,3.5,40,382,4,FALSE,421,6346.2
Land mark agro Seeds,Rice Seed,Badulla,3820,4.7,19,378,5,FALSE,241,7881.0
Green Harvest Agriculture,Tomato Seed,Nuwara Eliya,4728,4.9,17,311,1,TRUE,405,6881.8
Janogali,Chili Seed,Ampara,6524,4.9,52,283,5,FALSE,491,5183.4
Saduthara Plant nursery,Tomato Seed,Badulla,6450,4.0,11,675,3,FALSE,119,9980.0
Land mark agro Seeds,Carrot Seed,Matale,4870,4.3,40,216,3,FALSE,474,5433.0
Land mark agro Seeds,Rice Seed,Kurunegala,4610,4.8,57,161,5,FALSE,153,4632.0
Purahanda Enterprises,Potato Seed,Anuradhapura,7771,4.4,57,413,1,TRUE,131,5899.6
Green Grove Fertilizer,Bean Seed,Badulla,6397,4.5,22,155,5,TRUE,324,4566.2
Land mark agro Seeds,Rice Seed,Ratnapura,4139,4.3,45,453,5,FALSE,133,7995.4
Green Harvest Agriculture,Cabbage Seed,Colombo,6647,4.6,23,78,2,FALSE,174,3673.2
Janogali,Cabbage Seed,Hambantota,5124,4.5,16,672,3,TRUE,412,10365.4
Saduthara Plant nursery,Bean Seed,Colombo,5828,3.5,37,135,4,FALSE,444,4323.8
Land mark agro Seeds,Rice Seed,Nuwara Eliya,5082,4.1,35,119,4,TRUE,102,4484.2
Land mark agro Seeds,Onion Seed,Badulla,8275,4.5,54,565,2,FALSE,185,7275.0
Purahanda Enterprises,Corn Seed,Ratnapura,3651,5.0,39,363,4,FALSE,433,7389.6
Green Grove Fertilizer,Potato Seed,Colombo,7360,5.0,60,665,1,FALSE,354,8506.0
Land mark agro Seeds,Tomato Seed,Galle,6870,4.5,7,79,4,TRUE,454,3917.0
Green Harvest Agriculture,Tomato Seed,Kandy,6209,3.5,59,122,1,TRUE,306,3601.4
Janogali,Chili Seed,Ratnapura,5090,4.9,24,85,3,TRUE,394,4337.0
Saduthara Plant nursery,Pumpkin Seed,Galle,6143,4.6,23,197,1,FALSE,274,5064.8
Land mark agro Seeds,Onion Seed,Matara,6997,4.0,19,124,2,TRUE,75,4091.2
Land mark agro Seeds,Potato Seed,Badulla,6919,4.2,18,692,2,TRUE,276,9816.4
Purahanda Enterprises,Corn Seed,Kurunegala,3959,3.5,52,265,5,TRUE,225,6071.4
Green Grove Fertilizer,Onion Seed,Polonnaruwa,6603,3.9,27,135,3,TRUE,412,4201.8
Land mark agro Seeds,Onion Seed,Anuradhapura,7701,3.9,33,354,3,TRUE,464,5832.6
Green Harvest Agriculture,Onion Seed,Matara,6035,3.6,4,631,3,FALSE,221,9858.0
Janogali,Cabbage Seed,Monaragala,5456,3.9,51,526,2,FALSE,144,8090.6
Saduthara Plant nursery,Potato Seed,Colombo,8456,3.5,54,170,4,FALSE,199,3282.6
Land mark agro Seeds,Corn Seed,Colombo,4929,3.9,33,400,4,FALSE,296,7401.4
Land mark agro Seeds,Pumpkin Seed,Anuradhapura,6144,4.1,54,385,4,FALSE,92,6339.4
Purahanda Enterprises,Carrot Seed,Hambantota,4604,4.0,21,276,3,FALSE,91,6528.4
Green Grove Fertilizer,Corn Seed,Matale,3381,4.6,47,314,5,FALSE,425,6859.6
Land mark agro Seeds,Cabbage Seed,Ratnapura,6543,3.7,28,281,3,FALSE,229,5671.8
Green Harvest Agriculture,Chili Seed,Matara,4622,4.7,30,67,5,FALSE,34,4230.2
Janogali,Chili Seed,Ampara,5474,4.5,11,277,4,TRUE,157,6375.4
Saduthara Plant nursery,Carrot Seed,Kandy,7728,4.5,50,389,1,FALSE,72,5813.8
Land mark agro Seeds,Pumpkin Seed,Kandy,5970,3.9,3,574,1,FALSE,192,9325.0
Land mark agro Seeds,Pumpkin Seed,Monaragala,4926,4.9,2,251,1,TRUE,177,6502.6
Purahanda Enterprises,Tomato Seed,Badulla,5583,3.6,19,350,4,TRUE,112,6928.8
Green Grove Fertilizer,Chili Seed,Anuradhapura,6992,5.0,29,674,1,TRUE,366,9363.2
Land mark agro Seeds,Rice Seed,Ampara,4276,4.4,32,282,4,TRUE,367,6487.6
Green Harvest Agriculture,Pumpkin Seed,Nuwara Eliya,5374,4.1,9,670,4,FALSE,295,10397.4
Janogali,Potato Seed,Badulla,7627,3.5,58,247,3,TRUE,117,4304.2
Saduthara Plant nursery,Chili Seed,Matara,6984,4.3,3,175,1,TRUE,44,4917.4
Land mark agro Seeds,Bean Seed,Ratnapura,5801,4.4,51,58,1,TRUE,29,3257.6
Land mark agro Seeds,Bean Seed,Galle,4238,4.0,28,690,4,FALSE,200,10674.8
Purahanda Enterprises,Tomato Seed,Monaragala,6319,4.3,17,337,4,TRUE,379,6523.4
Green Grove Fertilizer,Potato Seed,Kandy,8077,4.7,39,483,1,TRUE,382,6828.2
Land mark agro Seeds,Bean Seed,Jaffna,3705,4.1,46,325,1,TRUE,436,6875.0
Green Harvest Agriculture,Cabbage Seed,Galle,6796,4.8,10,650,3,FALSE,468,9587.6
Janogali,Cabbage Seed,Kurunegala,5187,4.0,15,54,4,TRUE,34,4195.2
Saduthara Plant nursery,Chili Seed,Ampara,6045,4.1,36,401,3,TRUE,432,6899.0
Land mark agro Seeds,Rice Seed,Galle,4603,4.2,39,139,1,TRUE,355,4792.8
Land mark agro Seeds,Cabbage Seed,Kandy,6948,3.9,26,656,3,FALSE,400,9293.8
Purahanda Enterprises,Carrot Seed,Jaffna,7084,4.6,34,422,5,FALSE,201,6718.4
Green Grove Fertilizer,Cabbage Seed,Kandy,5602,5.0,42,97,2,FALSE,453,3889.2
Land mark agro Seeds,Tomato Seed,Matale,7153,4.1,27,186,4,FALSE,376,4485.8
Green Harvest Agriculture,Rice Seed,Ampara,4361,4.4,53,95,1,FALSE,232,4163.6
Janogali,Potato Seed,Matale,5926,4.6,51,290,4,TRUE,282,5521.6
Saduthara Plant nursery,Onion Seed,Ampara,5276,4.0,45,312,2,TRUE,63,6139.6
Land mark agro Seeds,Potato Seed,Badulla,6357,4.9,3,580,3,FALSE,216,9200.2
Land mark agro Seeds,Onion Seed,Anuradhapura,7265,3.8,2,436,5,TRUE,473,7450.0
Purahanda Enterprises,Corn Seed,Anuradhapura,3789,4.4,2,247,2,TRUE,10,6932.4
Green Grove Fertilizer,Potato Seed,Kurunegala,6058,4.6,16,70,3,TRUE,161,3968.8
Land mark agro Seeds,Corn Seed,Galle,3733,4.5,17,146,1,FALSE,146,5641.8
Green Harvest Agriculture,Corn Seed,Badulla,4181,4.7,48,691,2,FALSE,442,10286.6
Janogali,Potato Seed,Jaffna,8822,4.3,60,677,4,FALSE,367,8062.2
Saduthara Plant nursery,Chili Seed,Ampara,4314,4.5,8,615,5,FALSE,248,10279.4
Land mark agro Seeds,Rice Seed,Nuwara Eliya,3545,4.2,13,464,4,TRUE,266,8986.0
Land mark agro Seeds,Potato Seed,Matale,7993,3.7,57,89,1,TRUE,300,2591.8
Purahanda Enterprises,Pumpkin Seed,Ampara,4529,3.9,35,220,5,FALSE,279,5721.4
Green Grove Fertilizer,Cabbage Seed,Ampara,6840,4.0,39,305,1,FALSE,224,5564.0
Land mark agro Seeds,Chili Seed,Jaffna,5538,4.5,33,583,3,FALSE,35,8969.8
Green Harvest Agriculture,Tomato Seed,Anuradhapura,6659,4.8,25,252,2,TRUE,70,5362.4
Janogali,Cabbage Seed,Polonnaruwa,4162,3.9,9,368,3,FALSE,370,7868.2
Saduthara Plant nursery,Carrot Seed,Monaragala,5719,3.9,29,282,2,TRUE,354,5985.4
Land mark agro Seeds,Tomato Seed,Ratnapura,6184,3.8,54,597,3,TRUE,400,8452.4
Land mark agro Seeds,Carrot Seed,Colombo,5462,4.4,7,164,1,FALSE,215,5333.2
Purahanda Enterprises,Carrot Seed,Galle,5002,4.8,44,348,2,TRUE,438,6605.2
Green Grove Fertilizer,Chili Seed,Matara,5080,4.3,21,569,4,TRUE,194,9259.0
Land mark agro Seeds,Onion Seed,Ratnapura,7108,4.2,38,625,2,TRUE,333,8670.8
Green Harvest Agriculture,Tomato Seed,Badulla,7468,5.0,29,601,4,FALSE,197,8442.8
Janogali,Carrot Seed,Anuradhapura,4678,3.9,32,274,5,FALSE,500,6261.8
Saduthara Plant nursery,Potato Seed,Ratnapura,8983,4.6,16,217,2,FALSE,57,4268.8
Land mark agro Seeds,Pumpkin Seed,Kandy,5404,3.7,3,459,5,TRUE,47,8407.4
Land mark agro Seeds,Rice Seed,Anuradhapura,4012,4.1,37,368,1,FALSE,423,7362.2
Purahanda Enterprises,Pumpkin Seed,Polonnaruwa,5936,3.8,34,364,1,TRUE,464,6621.6
Green Grove Fertilizer,Tomato Seed,Kandy,7074,4.2,4,653,2,TRUE,419,9644.4
Land mark agro Seeds,Rice Seed,Ampara,4577,3.6,46,335,3,FALSE,154,6641.2
Green Harvest Agriculture,Potato Seed,Kurunegala,5602,3.9,42,318,5,FALSE,473,6132.2
Janogali,Onion Seed,Badulla,7419,5.0,43,392,4,FALSE,380,6092.4
Saduthara Plant nursery,Onion Seed,Kurunegala,7785,5.0,5,551,5,TRUE,342,8296.0
Land mark agro Seeds,Chili Seed,Matara,4106,3.6,9,683,1,TRUE,272,11049.6
Land mark agro Seeds,Cabbage Seed,Anuradhapura,4843,4.2,42,444,5,TRUE,150,7686.8
Purahanda Enterprises,Corn Seed,Matara,4863,4.0,48,334,2,TRUE,458,6464.8
Green Grove Fertilizer,Chili Seed,Jaffna,4339,4.9,19,60,3,FALSE,251,4487.4
Land mark agro Seeds,Chili Seed,Badulla,5475,4.1,54,121,2,TRUE,162,3967.0
Green Harvest Agriculture,Onion Seed,Monaragala,6832,4.9,30,202,1,FALSE,447,4690.2
Janogali,Pumpkin Seed,Jaffna,6750,4.6,52,471,3,FALSE,204,6982.0
Saduthara Plant nursery,Potato Seed,Ratnapura,5975,4.6,32,121,4,FALSE,430,4192.0
Land mark agro Seeds,Rice Seed,Kurunegala,4797,4.2,23,443,4,TRUE,318,8075.2
Land mark agro Seeds,Pumpkin Seed,Matara,4572,4.3,24,576,3,FALSE,19,9472.2
Purahanda Enterprises,Cabbage Seed,Kurunegala,5348,4.1,39,516,3,TRUE,136,8267.8
Green Grove Fertilizer,Rice Seed,Colombo,3573,5.0,52,250,3,FALSE,310,6030.8
Land mark agro Seeds,Carrot Seed,Jaffna,5705,4.5,55,461,5,FALSE,285,7243.0
Green Harvest Agriculture,Pumpkin Seed,Anuradhapura,5344,4.7,38,224,5,FALSE,147,5351.4
Janogali,Tomato Seed,Ampara,6978,4.0,56,165,4,FALSE,161,3768.8
Saduthara Plant nursery,Onion Seed,Nuwara Eliya,8149,4.8,34,135,1,FALSE,121,3416.4
Land mark agro Seeds,Bean Seed,Galle,5698,4.1,16,236,2,FALSE,278,5787.8
Land mark agro Seeds,Carrot Seed,Kurunegala,7365,4.7,46,289,5,TRUE,381,5033.0
Purahanda Enterprises,Chili Seed,Badulla,5522,4.8,48,539,1,FALSE,346,8227.2
Green Grove Fertilizer,Carrot Seed,Kurunegala,7399,4.3,3,300,1,FALSE,141,6001.4
Land mark agro Seeds,Onion Seed,Ampara,5834,4.0,31,556,3,TRUE,23,8636.4
Green Harvest Agriculture,Potato Seed,Badulla,7048,4.4,14,552,5,TRUE,430,8438.8
Janogali,Rice Seed,Anuradhapura,5445,4.2,48,299,3,TRUE,270,5876.0
Saduthara Plant nursery,Rice Seed,Matara,4626,4.4,21,418,3,TRUE,426,7927.6
Land mark agro Seeds,Chili Seed,Kandy,6365,3.6,44,138,4,FALSE,223,3996.0
Land mark agro Seeds,Chili Seed,Jaffna,5038,4.0,25,510,3,FALSE,178,8614.8
Purahanda Enterprises,Rice Seed,Matara,4990,3.8,32,142,5,FALSE,57,4820.0
Green Grove Fertilizer,Tomato Seed,Ampara,5040,4.6,45,697,4,FALSE,142,10066.0
Land mark agro Seeds,Chili Seed,Ampara,4530,3.5,22,154,5,FALSE,176,5333.0
Green Harvest Agriculture,Chili Seed,Kurunegala,6739,3.7,60,386,3,TRUE,450,6003.4
Janogali,Bean Seed,Jaffna,4317,4.4,22,72,2,FALSE,471,4571.2
Saduthara Plant nursery,Bean Seed,Galle,3726,4.6,27,63,3,TRUE,101,4611.6
Land mark agro Seeds,Cabbage Seed,Anuradhapura,4767,4.0,11,654,3,FALSE,383,10443.2
Land mark agro Seeds,Rice Seed,Nuwara Eliya,5174,4.8,28,586,4,TRUE,181,9236.4
Purahanda Enterprises,Carrot Seed,Anuradhapura,4913,3.6,56,536,5,TRUE,85,8316.8
Green Grove Fertilizer,Corn Seed,Polonnaruwa,4664,4.9,36,438,1,TRUE,405,7797.4
Land mark agro Seeds,Pumpkin Seed,Matara,6546,4.6,12,502,5,TRUE,220,8173.6
Green Harvest Agriculture,Potato Seed,Colombo,6836,4.8,57,352,2,FALSE,52,5651.6
Janogali,Chili Seed,Nuwara Eliya,6498,3.7,34,422,1,TRUE,442,6979.8
Saduthara Plant nursery,Corn Seed,Badulla,3148,4.8,39,628,1,FALSE,443,10246.8
Land mark agro Seeds,Tomato Seed,Hambantota,6440,4.6,52,374,3,TRUE,275,6136.0
Land mark agro Seeds,Potato Seed,Hambantota,5593,4.8,26,625,5,FALSE,409,9498.8
Purahanda Enterprises,Pumpkin Seed,Nuwara Eliya,6061,3.7,26,159,1,TRUE,292,4684.6
Green Grove Fertilizer,Tomato Seed,Ampara,6004,4.4,42,125,3,TRUE,206,4026.4
Land mark agro Seeds,Bean Seed,Kandy,5777,4.8,16,69,1,TRUE,179,4065.2
Green Harvest Agriculture,Cabbage Seed,Anuradhapura,6208,4.2,37,459,3,TRUE,172,7390.8
Janogali,Pumpkin Seed,Kandy,4377,3.8,41,369,3,FALSE,218,7155.2
Saduthara Plant nursery,Bean Seed,Kandy,5512,4.7,24,89,2,TRUE,335,4214.2
Land mark agro Seeds,Carrot Seed,Polonnaruwa,7354,4.3,54,86,4,FALSE,257,2859.4
Land mark agro Seeds,Bean Seed,Hambantota,4774,4.9,52,657,3,FALSE,259,9623.4
Purahanda Enterprises,Corn Seed,Galle,3049,4.6,17,411,1,TRUE,191,8562.4
Green Grove Fertilizer,Potato Seed,Kurunegala,7483,4.3,20,627,1,TRUE,299,8897.8
Land mark agro Seeds,Cabbage Seed,Ratnapura,4263,4.1,12,103,3,FALSE,331,5111.8
Green Harvest Agriculture,Potato Seed,Colombo,8838,4.6,29,123,3,FALSE,117,3126.8
Janogali,Tomato Seed,Hambantota,6592,5.0,49,607,5,FALSE,60,8453.2
Saduthara Plant nursery,Tomato Seed,Kandy,5685,4.2,14,92,4,TRUE,418,4390.0
Land mark agro Seeds,Pumpkin Seed,Ratnapura,5311,4.5,21,82,4,TRUE,249,4290.6
Land mark agro Seeds,Onion Seed,Matale,6727,4.2,7,540,1,FALSE,185,8593.2
Purahanda Enterprises,Tomato Seed,Kurunegala,5710,4.0,58,391,5,FALSE,492,6496.0
Green Grove Fertilizer,Corn Seed,Matara,4994,4.6,53,223,4,TRUE,432,5184.4
Land mark agro Seeds,Carrot Seed,Kurunegala,5101,4.9,2,609,4,FALSE,76,10012.6
Green Harvest Agriculture,Onion Seed,Hambantota,8336,4.2,17,379,4,FALSE,500,6139.6
Janogali,Onion Seed,Badulla,5126,4.0,10,220,3,TRUE,357,5979.6
Saduthara Plant nursery,Cabbage Seed,Matale,4286,4.9,43,124,4,TRUE,223,4668.6
Land mark agro Seeds,Potato Seed,Jaffna,6582,3.8,32,74,1,TRUE,492,3503.2
Land mark agro Seeds,Carrot Seed,Ratnapura,7523,4.9,60,186,2,TRUE,217,3653.8
Purahanda Enterprises,Onion Seed,Monaragala,7658,3.6,43,87,5,FALSE,210,2988.8
Green Grove Fertilizer,Rice Seed,Kurunegala,5007,4.2,59,360,4,TRUE,222,6441.2
Land mark agro Seeds,Tomato Seed,Colombo,5521,4.6,8,461,3,FALSE,464,8253.6
Green Harvest Agriculture,Pumpkin Seed,Kandy,5924,4.2,50,69,4,TRUE,25,3344.4
Janogali,Carrot Seed,Nuwara Eliya,5225,4.8,53,126,3,TRUE,248,4116.0
Saduthara Plant nursery,Onion Seed,Polonnaruwa,6635,3.6,34,647,1,FALSE,343,9178.0
